"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias","ARC4","ex_emg_kind"
"93","Black Forest","447.62500","442.62500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"94","Bristol Peak","449.52500","444.52500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"95","Canon Fremont","447.25000","442.25000","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"96","Cedarwood","449.97500","444.97500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"97","DIA Denver","448.15000","443.15000","A-Analog","High","25K","141.3","141.3","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"98","Pueblo","447.27500","442.27500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"99","Pueblo West","448.97500","443.97500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"100","Salida","449.97500","444.97500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"101","Thorodin","449.22500","444.22500","A-Analog","High","25K","141.3","141.3","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"102","Westcliffe","448.32500","443.32400","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"103","Westcreek","449.97500","444.97500","A-Analog","High","25K","100.0","100.0","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"104","W0TX Local","446.78750","441.78750","D-Digital","High","12.5K","Off","Off","BM W0TX Lcl","Group Call","310804","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","BM All","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
